62,10,5,Malia Duval
2,8,8,Rudyard Hassell
50,2,4,Kellen O'Connell
5,11,11,Baryram Wilkinson
17,9,15,Averyl Carlile
15,2,16,Fredrika Fawlkes
14,6,15,Mikaela Hartegan
81,12,10,Willi Pettegree
2,5,20,Vlad Pinchin
29,2,12,Bear Soffe
22,7,10,Hobey Normington
69,2,14,Cullan Rawstorne
36,2,20,Jodi Stockley
64,2,9,Sarge Meace
95,11,14,Karoly Battisson
91,12,5,Lawrence Clemmett
48,6,3,Eartha Wennam
56,8,11,Michal Edser
65,5,11,Riane Yanyshev
54,1,3,Bartholomeus Dinsale
21,10,6,Lonna Pickaver
86,7,8,Roddy Mattioni
47,5,1,Elnora Jemmison
44,8,14,Orson Bowra
15,11,3,Rustie Janczyk
49,3,20,Gwenneth Kingcote
12,8,7,Saudra Payfoot
11,9,9,Anthe Tavinor
51,11,8,Floria MacCrachen
26,12,10,Guillaume Twiname
61,4,1,Zacharias Readshaw
35,9,9,Roxane Faltskog
66,5,16,Westley Santostefano.
11,4,12,Lesly Siaspinski
50,10,16,Brynn Bathoe
80,9,14,Issiah Demcak
72,12,11,Hinze Delacour
6,1,10,Phip Taffe
46,10,5,Lynne Scotter
49,10,19,Alonso Nott
78,10,8,Jacklyn Craigg
10,8,19,Myer Titheridge
37,8,18,Mildred Darbyshire
88,2,3,Errick Jelleman
57,1,19,Hobart Klesel
90,4,3,Sinclair Labadini
30,4,15,Yorgos Wilshere
42,9,9,Arlina Sellan
57,4,16,Loutitia Barrows
63,4,10,Mireille Buxsey
15,2,3,Karisa Creaven
43,5,13,Frederica Ilson
56,9,20,Thaine Perfitt
92,1,7,Bella Huett
41,6,16,Teresina Izhaky
15,10,1,Willa Drugan
86,7,6,Jacki Berzons
31,9,1,Kirby Wharf
74,3,20,Mada Coolson
54,6,8,Clim Dunsire
53,3,15,Levin Lemmen
50,7,11,Alberto Dymoke
60,7,15,Harlan Forward
51,9,14,Jannelle Staner
79,4,18,Michelina Bracey
7,8,16,Jammal Percifull
97,11,3,Bertrando Donoghue
16,9,16,Sheilah Rathjen
80,11,6,Helena Lathey
68,10,3,Gradeigh McOwen
39,1,15,Dionysus Kleeman
24,9,4,Myer Palethorpe
85,2,18,Christian Cranidge
9,8,5,Maribelle Tindall
41,2,2,Melisent Bonar
43,8,8,Ardine Lindemann
77,1,11,Ervin Piwell
11,11,10,Luelle Kless
73,2,6,Dotty Heasley
98,11,10,Abbey Pearson
57,3,8,Jami Haining
19,12,5,Bonny Chippendale
19,2,20,Tabb Cellone
8,5,13,Lucita Barstowk
30,5,11,Philip Kobieriecki
69,5,17,Wyatt Calcut
10,4,4,Lewes Paddell
88,3,16,Betta Brecken
8,9,6,Corenda Kuschel
93,1,9,Nicky Stewart
50,5,5,Mycah Berryann
28,3,9,Twyla Gladebeck
29,12,4,Belle Mesnard
53,8,12,Marinna Sewards
65,3,16,Drew Dracey
35,12,3,Damian Tough
35,7,8,Rakel Mullord
78,2,1,Diane Stebbin
57,5,17,Gerianne Sharper
11,2,8,Tiphani Gudeman
29,7,6,Nikos Boxhill
69,12,20,Inesita Chancellor
79,12,8,Ezmeralda Gouldthorpe
82,10,12,Alena Duquesnay
31,1,7,Jacky Stewartson
76,12,3,Stewart Rame
65,8,16,Merna Manssuer
19,7,20,Shaun Tumility
69,8,12,Putnam Epps
94,1,16,Gabie Lurriman
46,5,2,Aube Amorts
80,11,14,Pierce Pontefract
87,7,8,Lynda Leatt
75,3,19,Hildagard Creenan
65,12,11,Dorise Thowes
9,3,9,Reginauld Pering
85,1,7,Vivia Riolfi
29,5,8,Marga Dovinson
11,7,2,Felic Heathcote
2,5,20,Naoma Chinn
17,5,19,Thaddeus Duiguid
63,8,2,Drugi Killelea
81,7,7,Liuka Gronowe
65,3,18,Penni Baird
94,6,7,Garvey Pevie
25,11,15,Sadye Andras
42,11,4,Natalee Bishop
80,2,7,Blanca Howman
48,2,1,Kevyn Sexti
73,6,11,Kevin Conibere
92,12,4,Gavra Bensen
51,12,15,Lorne Devanney
61,10,3,Red Chiplen
72,6,2,Minna Sevitt
32,10,12,Bendicty Iseton
96,5,11,Sarine Vernall
13,4,11,Darleen Rapley
75,11,13,Camala Scaysbrook
25,2,3,Alfonse Seneschal
25,6,13,Nowell Wellington
49,7,13,Billy Gniewosz
35,7,3,Valli Spire
95,12,1,Lief Gillhespy
36,7,16,Jamill Nutley
45,9,20,Estevan Hitter
21,8,20,Malchy Leban
91,12,17,Rozalin Middas
7,3,11,Alford Gladden
3,5,15,Stephi Hovee
42,2,14,Meade Glave
64,8,8,Maynard Lockier
5,11,1,Mikaela Gallifont
72,7,4,Jesse De Lorenzo
51,5,1,Rachelle Ikins
72,10,9,Pammy Dufour
33,5,17,Ailee McKeurton
65,9,18,Rena McVey
35,4,7,Sheryl Pavy
58,6,20,Carol Ennew
64,10,10,Iorgos Kidby
94,9,7,Evaleen ffrench Beytagh
48,11,2,Haily MacKenny
10,4,2,Pattie Paolino
68,12,8,Onfroi Aers
78,11,18,Julissa Shuttle
52,2,4,Smith Gibbonson
44,2,19,Charline Scotchforth
33,11,10,Case Synke
97,2,4,Willamina Acum
73,6,6,Dex Lancaster
35,7,15,Shannen Sheber
45,7,7,Cobbie Nern
51,8,1,Duff Hanscome
