502(370)5995246,966343698,74761
970(154)5511284,171858285,28928
1(714)9937901,749325395,67656
351(503)4512548,872595464,16453
351(958)3444612,3344013,24175
86(226)7574610,537491982,41443
963(842)3386504,891193135,35591
62(912)6456787,289569571,20722
48(593)1606414,965287774,25111
57(205)3231188,552087791,39658
86(733)9460939,161875109,20568
63(821)7637823,615634239,90540
386(727)2283583,947522699,86052
33(974)9971581,710981157,23916
52(578)6667795,197222966,77327
46(828)4023472,783343000,26136
86(711)1688514,856238692,72820
62(472)5259543,792030840,30906
86(154)5070947,731914607,69228
55(436)2405546,984078734,26663
420(557)4574040,294999460,96621
33(497)2226964,246524643,23922
351(724)1329346,62980639,46804
86(984)4458784,120181659,42720
57(475)3644660,496997923,65589
353(384)7795560,339881684,93139
62(182)7092422,616351352,94121
58(711)3945741,837483811,83869
92(603)6152109,853272376,80887
355(984)2307830,223797154,66884
381(445)4353080,787340115,24247
86(834)4429887,390187526,23828
48(277)3396271,425209918,57265
237(271)3061987,251728199,51939
237(471)5973576,402217020,50622
1(693)8258824,322659546,25876
1(951)4117308,793286861,147
255(442)9555464,310649906,88320
63(607)2743884,68462684,25966
387(810)3848273,723520421,32789
62(605)9869606,634296117,22553
55(928)8375802,319715076,79294
62(662)3975007,251788147,25576
81(486)1495250,781041493,18341
62(613)9650214,445550601,50100
255(498)1396690,55972582,66930
86(659)5318837,104636110,7453
57(660)7479281,127554117,450
33(250)6444096,909738046,14838
963(731)7159831,360928739,88710
962(145)5217185,472828829,84499
359(561)1519256,82855808,45643
51(626)9859502,7600789,2686
86(686)7212723,453055567,46426
62(362)6819919,801665678,98527
86(722)7194239,170529871,33965
62(897)7595849,222276964,10112
1(589)6042467,36818435,97271
86(411)1667339,396522725,21393
66(298)6479740,667031465,79927
48(579)6711655,289008385,29203
229(126)2166392,261210705,18890
86(564)7173306,640429309,93592
232(360)5411467,845641987,97830
86(618)2853088,205931093,50454
7(813)8553861,504264970,33709
964(122)8402106,840780714,7895
420(193)1820053,290732759,47678
52(853)9326324,259508084,51925
55(507)6924264,161930610,99209
62(669)6848330,267339432,99458
93(221)3599778,29620492,42549
961(871)6901843,453299488,95714
56(388)4333122,506241240,96309
84(393)1629148,630865845,68180
86(196)3613985,120423298,25116
216(684)9663719,564963777,82279
1(202)8988550,468364069,34857
98(406)5814604,247683254,34514
46(713)2186268,391611333,69969
7(440)1964226,381078783,83576
62(377)6385112,400233422,22117
62(879)9902655,834134360,36608
1(407)6838466,225292699,24309
1(422)7006880,677231154,80753
86(389)6980314,190718824,62411
33(961)8403478,653746390,80568
82(804)2315075,514662596,3231
1(302)6775207,298945118,99869
66(530)7758504,880844259,52849
62(232)7447561,54409236,74380
63(507)4965795,479867386,42724
63(829)2684359,81679684,14115
242(106)5192239,196541066,87735
976(650)7728301,997530835,22615
1(646)6393299,53688481,32325
63(630)4413920,932946992,18263
351(949)9549259,519729251,82566
62(978)4484984,186437446,83264
359(479)6811606,232738560,54697
